"comment","author","date","num_likes"
"고딩엄빠 시즌1 정주행👉 <a href=""https://youtu.be/ieUs3pvon1Q"">https://youtu.be/ieUs3pvon1Q</a>","고딩엄빠","2022-10-26T05:25:02Z","1"
"삼종세트가 똑같아","손윤희","2022-12-06T12:24:11Z","0"
"저런시어머니는 못된며느리 만나봐야 정신차린다니까","손윤희","2022-12-06T12:23:39Z","0"
"저런집에서 살 필요가 없어","손윤희","2022-12-06T12:20:10Z","0"
"쓰레기는 쓰레기일뿐<br>어느집 새낀지 집안꼴<br>알만하네","아무개아무개","2022-12-03T18:02:02Z","0"
"구럴거면 뭐하러낫니 저런놈한테 시집간다고 쯧쯧 후회할짓이다","은뚠니","2022-12-01T15:18:46Z","0"
"저거 저런 남자 제발 법으로 좀 ㅠㅠ 제발 책임지게 해주세요 ㅠㅠ","별빛 아래 펭귄","2022-11-29T05:00:34Z","0"
"ㅋㅋㅋㅋㅋ 와 진짜 점입가경이다","Dunno","2022-11-26T08:05:39Z","0"
"잔인한 시어머니","허인자","2022-11-23T14:46:55Z","0"
"나 중고딩때는 머릿속에 대학입시 생각밖에 없었는데.. 고1때 왕따당해서 전학갈때도 대학잘가야지 생각밖에 안들었음. 그래서 잠깐 남자친구 사겼는데도 도저히 지금은 이럴때 아니라는 생각밖에 안들어서 공부해야하니까 헤어지자고 했었음.. 이거보니까 딴생각 안하고 공부만한 내자신이 신기함. 난 진짜 머릿속에 대학교 하나밖에 없었는데 다른 애들도 있구나..라는걸 새삼 느끼게 되었다.. <br>연애는 22살때 몇년간 제대로 해보고 지금은 사범대 졸업하고 교원임용 준비중. 모든 남자, 친구들 번호 다 끊음.<br>남자보다는 내 미래가 훨씬 중요한데..<br>외로움을 남들에게서 채우려고 하지 마세요 여자분들..","곰돌이","2022-11-20T04:58:38Z","0"
"멍청한게 첫번째 임신때 크게당했고 양아치 놈  하고 헤어지지 또 자빠자서 또 임신 <br>그  폭력하는 것을당하고도<br>정신 못차리는 멍청이라 말밖에 안나온다! 한심","Mi","2022-11-19T03:06:47Z","2"
"남자도 그렇지만 여자애도 참 ~","소나기","2022-11-19T02:20:21Z","2"
"지팔지꼰","E","2022-11-18T06:49:41Z","1"
"얼굴도 못 생긴것이 육갑 떨고 주접이네 왜 완전재수없다 ㆍ","유은숙","2022-11-14T17:26:30Z","1"
"첫번째임신은 이해 한다지만<br>두번째는 기막힌다 진짜<br>몸가짐 똑바로안하고","딸기","2022-11-14T05:53:55Z","2"
"여자애도 참 답답하네요 저런 집구석을 보고 그런남자한태 미련을 못버려. 에휴","정인숙","2022-11-09T23:14:02Z","1"
"첨애기 유산시켰을때<br>친구가 한말을 들어어야 되는데<br>멍청하네 니발등 니가 찍은거야","봄","2022-11-08T10:51:47Z","1"
"애기는 나두고 나와야지<br>애를 왜데리고 나와요","봄","2022-11-08T10:49:43Z","1"
"골때리는 그년들","로블록스 블루보이","2022-11-07T23:12:31Z","0"
"조금있어면 또그런짓 또한다 여자<br>애도 문재다","김금연","2022-11-06T12:06:55Z","0"
"남자보는 눈이  너무없네요<br>첫번째는 실수라해도 두번째는 이해안되요<br>시댁식구들보고 바로 끝냈어야죠ㅠ<br>애기랑 어찌살지 걱정되고 정말 방법이있다면 도와주고싶어요","좋은하루","2022-11-06T04:52:23Z","1"
"첫임신때 애기지우고 자기인생야무지게살았으면더잘살았을텐데..어째못떠나고 남자성격다알았으면서 다시만나고임신하고 왜저러는데<br>어째남자가달라진다고 저러고산건지 첫단추잘못된거 그나마 혼자열심히살기회도있었는데 악의구렁텅이에서만맴돌다사는구만  안탑깝고 답답하네","s*ㅇ ㅕ보ㅇㅑ♡","2022-11-04T19:19:48Z","1"
"에휴..ㅉㅉ 끼리끼리라더니","이불밖은위험해","2022-11-02T14:13:56Z","0"
"아무리 시어머니 재연배우지만 진짜 밉상이고  그리고 본인 아들은 얼마나 잘 배웠길래 여자를 함부로 대하고 아직도 저런인간들이있다는게 어이없다","김경택","2022-11-02T09:31:56Z","0"
"그러게 어린 나이에 반대하는 애는 왜 낳았을까~","하늘공","2022-11-02T04:51:27Z","1"
"두번 임신한 여자도 문제지만 남자집안은 토나온다","흥재 박","2022-10-30T02:57:19Z","1"
"&quot;하늘은 뚫어져도 솟아날 구멍 은 있다.&quot;는데 내 주위에 가장 가까운 사람이 나를  해치지만 고딩엄마가 이를 악물고 착하 게 살다보면 나를 해친자들은 악의 구렁텅이에 빠질 날이 올 것이니, 잘 견뎌 내길 바라며  특히 자식을 훌륭하게 키우면 저절로  복수는 이뤄집니다.","안시야","2022-10-29T12:56:01Z","0"
"사람아니것들이랑은 빨리나와야됨  남은인생위해서","오늘그리고내일","2022-10-21T13:42:46Z","0"
"책임질 경제적 능력이 안 되면서 무조건 낳기만 하는 게 책임지는 일은 아님. 둘 다 잘못했다고 본다.","감귤","2022-10-21T09:51:24Z","0"
"와 진짜 뭐 저런 가족이 다있냐... 지옥에 떨어질 인간들","DIVE다이브","2022-10-21T08:43:58Z","0"
"진짜 양쪽 부모 다 쓰레기 소리나와요…너무 속상하고 마음아픕니다…꼭 꼭 아기랑 건강하게 행복했으면 좋겠어요…","yoyojux2","2022-10-19T18:44:30Z","5"
"남자가 더잘생겼으면 용서하는게 한녀들..","이순탁","2022-10-19T08:29:55Z","1"
"남자가 예비 상습범이네요<br>그리고 아버지는 무슨 딸이 조강지처에요?<br>미혼모 시설 들어가라는 것 봐라<br>시댁이랑 뭐가 다르나요","구름","2022-10-19T06:54:47Z","0"
"아니 솔직히 첫번째는 실수라 그렇다치자 두번째도 그런거보면 참..","김성호","2022-10-19T03:12:53Z","3"
"10때,, 에궁,,<br>애초에 낳아 키우지 못할거면 <br>피임 잘하고 낳치를 말아야지","Bnmijl Frjill","2022-10-19T02:41:42Z","1"
"수세기 방어용 배포용 … . <br><br>피해준거 1도 없다!!!! 지금까지도 애먼 ,,, “ 우리가족이 직,간접 기타등등”” 심각한 피해를 입고 있어 올립니다 거짓말 탐지기 강력 요청 !!!!","Bnmijl Frjill","2022-10-19T02:34:19Z","0"
"피임을  안하고  무섭지도  않나","심현주","2022-10-18T12:15:21Z","1"
"니가 안에 싸서 임신된거란다..밖에 싸서 임신되기도 하지만 거의 아니야..본인들이 더 잘 알듯","닉네임2","2022-10-18T04:14:49Z","0"
"자신을 사랑하고 잘 지키세요.","힘","2022-10-18T02:21:15Z","3"
"딸이 있어요.. 내딸이 저렇게 안되려면 저런부모처럼 하면 안되겠다생각드네요","보통사람","2022-10-18T00:54:19Z","0"
"처음부터 좋은 사람인척 포장한거겠죠","곤듀들아 배틀그라운드를 신청한다","2022-10-17T15:49:21Z","0"
"댓글들 진짜 소름끼친다. 저 애기엄마는 이제라도 정신차리고 내아이지키고 가족 만들어서 바르게 키우고 싶었던건데,그렇게 모질게말해야하나. 낙태하면 애 죽인다.낳으면 키우지도못할꺼 왜낳냐 이중적인모습 진짜 환멸난다.","아니의사양반","2022-10-17T12:07:05Z","1"
"남자 배우 이름 뭐징??! 아무나 아는사람 알려줘요....","니유","2022-10-17T10:02:10Z","0"
"윤건웅배우입니다!","지하실의수기","2022-11-15T18:36:19Z","0"
"몇살에 임신하든 남편이란 사람이 바람피고 폭력까지 휘두른다? 그냥 애데리고 나오던가 피임을 했어야함..... 혼자서 애키우는거 쉽지 않다... 더구나 미성년이면 준비해야될것도 많고 하고싶은것도 많을 나이인데...20대중반에도 하고싶은거 많고 당장 준비해야될것도 많은데 10대에 임신하는건 별로 좋아보이진 않음.....","아야카시체리","2022-10-17T07:50:45Z","0"
"애 지운지 얼마나 됐다고  또 임신? 대책없이 그런집 들어가서 낳고 키우자는 건 모지리인증~~~<br>아무리 멍청해도 지인생을 저렇게 꼬지는않는다","은하수","2022-10-17T01:32:29Z","3"
"에휴 시어머니, 장남, 남편은 정말 인갈말종 이다","jk","2022-10-16T23:49:31Z","1"
"남자도 문제지만은 여자도 문제임","박정하","2022-10-16T17:08:18Z","1"
"저 시댁은 풍비박산났으면 좋겠다 진짜","세일러문","2022-10-16T16:21:14Z","0"
"진짜 내 딸이었으면 남자애 존나 팬다 진짜 저 책임감이 어떻게 최소한 인간으로서의 도리도 안 챙기냐","henny","2022-10-16T15:39:52Z","2"
"남자가 잘못은 제일 크지만 여자도 문제인건 틀림없음 똑같은일을 2번이나 반복하네<br>서로 책임 못지면 지우는것도 방법이다<br>시어머니말도 완전틀린말은 아님","휘뚜루마뚜루","2022-10-16T13:46:58Z","1"
"첫번째는 실수라해도 두번째는 이해가안가네..<br>저시에미 말하는것도 현실적이긴함.","sjny","2022-10-16T09:52:52Z","6"
