comment,author,date,num_likes
"19세 프로 주부의 등장!👉<a href=""https://youtu.be/6W1MEb06Q5M"">https://youtu.be/6W1MEb06Q5M</a>",고딩엄빠,2022-11-23T04:41:39Z,6
이거 미성년자 성범죄로 신고 가능 하죠?,정연수,2022-12-08T07:50:48Z,1
이거 범죄야 제발 미성년자 건들지말라고,뱃살튜브,2022-12-07T20:38:38Z,0
재연배우랑 실제 사연자랑 외모차이 넘 심한거 아닌가요,지몬이,2022-12-05T04:48:26Z,2
아니.. 이런거 처벌안되나.. 미쳤다..,하하어이구야,2022-12-02T08:42:04Z,26
겁이없네<br>용기만있고,김가네,2022-12-02T07:04:21Z,0
배우들이 넘어른인뎅,하나,2022-12-01T15:33:00Z,0
여기서 나이차로 논점 흐리는 놈들은 대체 뭐하는 거임; 성인이 돼서 성인끼리 만나는거랑 성인이 법적 미성년자를 만나는 게 같냐?정신 좀 차려라 진짜....,keep pushing,2022-12-01T09:37:34Z,5
그러니까요.. 하 10살차이고나발이고 미성년자..,하하어이구야,2022-12-02T08:44:15Z,0
진짜 남자 무슨 낯짝으로 방송 출연한거냐? 안 쪽팔리나? 딴 나라였음 돌맞음;; 이걸 로맨스로 포장하는 것도 머단합니다;;,쥑쥑,2022-11-30T17:40:30Z,2
진짜 짜증난다ㅋㅋㅋㅋㅋㅋㅋㅋ<br>10살 어린애 아버지가 그만 만나라고 해도 들어쳐먹지도 않고 계속만나놓고 지가 피임도 안하고 싸질러서 임신했는데 미혼모센터에서 애를 낳게 하냐... 진짜 욕을 삼킨다..ㅎ,박은수,2022-11-30T02:01:33Z,26
무슨 가상 인물을 내세워서 하나,우리별,2022-11-29T10:07:32Z,0
"참ㅋㅋㅋㅋ저도 남편이랑 10살 차이지만 이건 도대체가ㅋㅋ미성년자는 너무 에바다.....28살 18살의 남녀, 38살 28살의 남녀 같은 10살 차이라도 너낌이 너무 다르잖아요ㅜㅜ",김하하하,2022-11-28T14:53:33Z,3
여자도 장난아니네,휘파람으로 휘이이,2022-11-28T11:48:59Z,0
이렇든~~저렇든<br>미성년자면<br>지켜주고 기다려줬어야했습니다.<br><br>결말이야 잘됐지만<br>범죄입니다.,써니,2022-11-28T04:40:59Z,4
개씹ㅋㅋㅋ,관봉티비,2022-11-28T03:49:54Z,0
겨우 10살아닌가<br>20살차이도 아니고..참,이소빈,2022-11-28T02:48:08Z,0
재연배우 사기잖아..ㅋㅋㅋ,nzel rapu,2022-11-28T01:25:32Z,3
이걸 범죄취급하면 최성국은 사형이겠네.,nuwana,2022-11-27T09:35:25Z,0
성인이 된 이후에 성인끼리 만난거랑 성인이 법적 미성년자랑 만나는 게 같아요....?무슨 말 같잖은 소리를 하고 있어;; 정신차리세요.,keep pushing,2022-12-01T09:36:07Z,1
제발좀사회자님나대지마세요<br>재미로쉽게장난하듯말하지마셔요도움되는말만유익한말만~,DAL SOOK KIM,2022-11-27T08:37:19Z,1
참.......,김태은,2022-11-27T02:20:18Z,1
미친놈 헤어졌다고 말하고 다닐거면 콘돔 꼬박꼬박 끼고 피임약 먹이든가 해야지 어떡하지 ㅇㅈㄹ 열살 차이 나는 미자한테 마음 품은 남자가 ㅁㅊㄴ인듯,•̀ɞ•́,2022-11-26T20:56:16Z,0
"이혼 가정에서 자라 만만해보인걸까, 아님 같은 나이대 여자들은 자기를 남자로 거들떠봐주지 않으니 10살이나 어린 미성년자한테 눈을 돌린걸까…진짜 중 2면 애긴데😢 욕구가 앞섰네여…",도경,2022-11-26T18:04:55Z,52
역겹다,葡萄,2022-11-26T18:03:36Z,4
미성년자의 나이 차이는 어른과의 나이 차이와는 다르지.. 진짜 저 선생님은.. 하,구리씨유,2022-11-26T13:36:26Z,3
아니 이건 그냥 범죄자 아님? 애초에 정상적인 어른이면 지보다 10살 어린 애를 여자로 안본다 절때.,용4 게임,2022-11-26T11:50:00Z,44
여주랑 친구 역할을 바꿔서 배정했으면 더 잘어울렸을건데ㅋㅋ,MISUNG LIM,2022-11-26T01:03:15Z,5
보는내내 기분나쁘고 역겨워서 보다껏다 와ㅅㅂ 뭔,푸 쪼,2022-11-25T14:36:10Z,1
