"comment","author","date","num_likes"
"새벽의 고기 먹방?👉<a href=""https://youtu.be/5v-n3irS5Lc"">https://youtu.be/5v-n3irS5Lc</a>","고딩엄빠","2022-11-23T04:42:22Z","2"
"ㅋ","쭈우니","2022-12-09T04:57:05Z","1"
"꼬신건 남자고 열살차이 미자를 꼬신것도 남잔데 남자는 아무잘못없고 왜 여자만 꽃뱀취급을 하는걸까","byc1994","2022-11-29T05:55:12Z","0"
"시아버지 시어머니 저 말이 진짜 진심이였음 좋겠네여.<br>저 어린나이에 마음에 짐이 얼마나 컸을지 <br>가늠하기 힘드네여.<br>엄마이기때문에 어린 나이에도 저 힘든 하루하루를 짊어지고 가는 모습이 너무안타깝네여<br>꼭 행복한 일만있었음 좋겠네여.","윤종환","2022-11-25T12:00:27Z","1"
"그 교회 성도들이 참! 이상하네요!","최달봄","2022-11-24T16:50:37Z","4"
"남자에 비해 여자가 아까워서 꽃뱀 얘기 나온듯","지수","2022-11-24T04:32:27Z","1"
"상처가 된 건 알지만 그 얘기를 시부모님이 하신 것도 아니고 ㅋㅋㅋㅋ 오히려 시아버지는 이별을 하라고 하지 않았나 본인들이 헤어진 것처럼 관계 유지하고 아기 임신하고 아버지는 직업을 잃으셨는데 ㅋㅋㅋㅋ 얘네 둘 다 어린 게 아니고 지능이 좀 모자란 거 아니가 .. 철없단 소린 하지 마시길 하다못해 어린 자녀들이 철이 들 정도고.. 저 부부는 철도 안 들어 보임","써니","2022-11-23T23:37:01Z","8"
"목사님도 자기자식마음대로못해요 한마디로 상대방이 미성년자이니 일종의 사고친건데 그게 부모탓은 아니죠 그누구탓할거없고 둘이 결혼했으니 잘살면 되는겁니다 오둥이아빠도 좋은사람같던데  얘들생각해서라도 건강위해 살만 좀 빼시면 좋을듯싶고  행복한 가정되세요^^","릴리","2022-11-23T23:14:04Z","2"
"목사님이시니 책임지고 결혼시킨거죠 대부분 아들 부모들이 책임지고 결혼시킵니까 낙태종용하거나 무책임하게 버리고 미혼모만들죠 시부모님 훌륭하십니다","릴리","2022-11-23T23:09:13Z","8"
"꽃뱀소리 나오긴 하겠네.. 와꾸보면 왜 굳이 저 사람이랑? 이란 생각 당연히 들듯","나는나","2022-11-23T17:44:31Z","7"
"남자 졸라리 뚱뚱하네 여자는 힘들어서 말랐구만 뭘 저리 ㅊ 먹은거냐 아무것도 모르는 미자 꼬셔서 임신 시키고","손혜진","2022-11-23T14:24:36Z","2"
"열씨미 살아가기 위해 애쓰는 모습이 짠하네요","retro","2022-11-23T13:20:04Z","5"
"목사 아들이 뭔데; 하..속터져...남자는 돈도 없다면서 뭘 저렇게 먹은거야 살 좀 빼삼","하은김","2022-11-23T12:53:34Z","59"
"남편이 엄청 거대하시네… 살 좀 빼야할텐데","강규민","2022-11-23T12:40:35Z","25"
"미녀아닌데","퍽유짱깨","2022-11-23T12:39:12Z","10"
"목사아들이면 더 잘해야지 여자가 왜 미안한가요?<br>아들이 죄송해야지 ~&quot;","정영아","2022-11-23T12:09:25Z","52"
"아이들을 위해서라고 남편분 건강관리가 시급한듯싶어요 시부모님 좋으신분들이네요 두분도 오둥이랑 행복하게사세요","이유나","2022-11-23T12:09:16Z","31"
"두사람이 연애했지 여자만 했어요 남자가 더 책임이 있지요~&quot;","정영아","2022-11-23T12:08:08Z","13"
"난 저 여자도 착한척 하는것도 아니고 죄송하면 입 쳐 닫고 도와드리면 되지  솔직히 저 시아버지는 뭔죄인가..","최지현","2022-11-23T12:05:19Z","35"
"모두 화이팅!!","굿맨굿잡","2022-11-26T12:20:13Z","0"
"여자도 제정신 아님","써니","2022-11-24T06:36:18Z","2"
"아들이 뭣도없으면서 5명을 까질러놨자나 그러니 부모가 도와주는거지 별수있나?","나쁜여울이","2022-11-23T18:06:28Z","9"
"니입부터🐔","심종수","2022-11-23T14:18:00Z","4"
"목사아들이 재벌인가 ㅋㅋ 여자분이 아깝다","나이야가라","2022-11-23T08:40:11Z","65"
"무능력한 남자","정유정","2022-11-23T07:08:17Z","53"
"여자분이 너무 아깝다..조이현 삘 나는데..","あおれん","2022-11-23T06:59:46Z","45"
"재벌집. 아들도. 아니고. 목사. 아들이. 머가  대단하다고","가람 Garam","2022-11-23T06:54:25Z","67"
"목사아들이ㅡ신학하는사람도있음ᆢ","1윤이2최이♡가아모얻","2022-11-23T08:29:36Z","0"
"어떤 꽃뱀이 애 다섯을 낳아요...","H","2022-11-23T06:26:41Z","169"
"꽃뱀이 뭔 저런 집안 아들을 부잣집 아들도 아니고 웃기네ㅋㅋㅋㅋㅋ","시작","2022-11-23T13:26:15Z","37"
"심지어 꽃뱀은 돈있는 사람한테나 들러붙지 저 집안에 뭔 꽃뱀","잔망","2022-11-23T13:06:39Z","51"
"명쾌하네요  정답입니다","정유정","2022-11-23T07:07:35Z","27"
"나도 기독교지만 목사 아들이 벼슬인가?<br>아버지가 목사인거지","가을향기","2022-11-23T06:19:26Z","97"
"놰이상인가 누가벼슬이라카나 자식땜에 그만둿다잔아 양심에걸려서","심종수","2022-11-23T14:21:20Z","1"
"목사님 아들이 뭐라고….","JW SEO","2022-11-23T05:22:00Z","152"
"내말이","E","2022-12-01T07:27:52Z","1"
"ㅋㅋㅋㅋㅋ어디 재벌가 아들도 아니고 걍웃기다","ᄋᄋ","2022-11-27T09:35:37Z","5"
"@심종수 니가 뭔데 목사 아들이랑 사귀냐고 꽃뱀이라 소문났대잖아요","와앙","2022-11-23T15:40:58Z","1"
"누가뭐라나","심종수","2022-11-23T14:18:57Z","0"
"엄마얼굴에  아빠뚱땡이체질","소소한유튜버","2022-11-23T05:03:52Z","29"
