comment,author,date,num_likes
"고딩엄빠 시즌1 정주행👉 <a href=""https://youtu.be/ieUs3pvon1Q"">https://youtu.be/ieUs3pvon1Q</a>",고딩엄빠,2022-10-26T06:15:05Z,1
저도 추씨인데 추씨가 흔치 않아서 정이 가네요ㅎㅎ,cdh9069,2022-10-04T18:13:16Z,0
와 존경스럽다.어른이다 👍,박주연,2022-09-28T07:41:48Z,1
대단하네 진짜,긱스콜스,2022-09-12T16:50:12Z,1
보는내내 흐뭇하네ㅎㅎ,J Hong,2022-09-08T03:13:12Z,0
미성년자에 아이낳은 사람들 보고도 색안경끼고 보지않게 되네요. 멋져요,호두 만두야 놀자,2022-08-31T11:05:03Z,1
우와.. 대단한 부부네..,Yang-sun Lee,2022-08-25T02:13:59Z,1
인스타가 너무 궁금하다..ㅠㅠ,김하은,2022-07-25T08:45:23Z,2
이쁘다♡<br>나이를 떠나서 모든 부모들이 본받아야 할 부모인거 같아요.저 포함해서~~^^,😈천사초롱초롱👼,2022-07-17T04:31:33Z,5
너무 예쁜 부부다<br>나같아도 남편이 저러면 너무 사랑스러울듯,김미선,2022-07-16T03:40:23Z,9
저런 사람이 가정 꾸리고 아이 낳고 하는거지... 나이가 찼다고 시집장가가고 애낳고 하는게 아니고...참으로 응원합니다!,gracia chae,2022-07-15T08:56:24Z,117
참 아름답네요. 아이들이 잘 크는건 당연지사겠네요.  아내분 말투가 털털하지만 그 안에 남편의 성실과 책임감을 존경하고 존중하는게 느껴져요.^^,ㆍ,2022-07-14T16:53:48Z,42
대단하고 기특해요,Josephine Lee,2022-07-09T02:45:48Z,4
What Name,LIZA ASARI,2022-07-07T13:36:11Z,0
간만에 진짜 남자 같은 남자를 보는 것 같네!<br>가장은 가정을 위해서는 뼈 가지가 으쓰러져도 그 책임을 다 해야 된다 말이 새삼 생각이 나네요.<br>윤철씨 화이팅!,희망사항,2022-07-06T11:09:32Z,41
진짜 나보다 어린친구인데 성실하고 멋지다 진짜 책임감도 강하고,안상준,2022-07-06T08:25:42Z,48
저렇게 살면 인정,맘맘,2022-07-05T11:47:16Z,8
남편멋있다 열심히 일한다,포도이당,2022-07-05T07:05:50Z,24
서로 저렇게 이겨내는 모습 보기 좋아요,구름,2022-07-04T13:15:37Z,28
ㄹㅇ 남편은 결혼안했으면 인기 많았겠다,yuzzangg,2022-07-03T00:46:38Z,48
성실하고 착하다 와 저런 친구가 있네,esther,2022-07-02T05:07:33Z,30
택배에서 인정받았으믄 진짜찐이다,Betty쌤,2022-08-31T22:41:30Z,2
남편분 너무 착해요~ 보는데 눈물이 났네요.<br>거짓없고 꾸밈없는 순수한 모습에 응원을 보냅니다!! 앞으로도 꽁냥꽁냥 화이팅하세요. 😄,장윤정,2022-06-30T06:28:17Z,89
와 오랜만에 사이다다 너무 순수하고 자기일 성실하게 여자애도 같이 공장다니면서 일하고 애들 잘키웠고 성격좋고,유키,2022-06-30T05:26:22Z,247
부끄러워<br>고등부부보다능력있고일하면서<br>폭행하는사람들많다<br>고등부부보고배워<br>책임감있고<br>우리나라<br>아직외국처럼법도엉망지원도엉망<br>말하기도싫다부끄러워<br>국민감소해서많이낳으라고하면서<br>지원부족<br>세금은120억으로부인말하기싫다요즘<br>부모잘못이지만아이와함께자살하는사람마음이해<br>외국처럼하자법도고치고<br>가해자보호나라그만<br>고등부부도<br>인정하고대출병원편히해주자,김명선,2022-08-09T08:58:46Z,4
남편분 진짜 기특하고 착하네요ㅜㅜ 여자분 남편한데 더 잘해주세요..진짜 이런 남편 만난게 복입니다..,강윤아,2022-06-30T03:38:25Z,72
민영씨 진짜 결혼 잘했네요!,zcokelover,2022-06-30T03:07:56Z,35
성실한 아빠네,하이디,2022-06-29T16:34:38Z,35
저런남자만나야됨,김소의,2022-06-29T13:36:33Z,87
@딴딴 이런 애들은 항상 뭔가 삐딱함.,Djdjxu Zbxh,2022-09-11T14:41:35Z,2
@abcdefu 에헤이 그런말 자제합시다 우리,스ᅳ파이더호렁햐,2022-08-28T11:01:55Z,2
그만큼 좋은 여자면 저런 남자 만날 수 있음^^,딴딴,2022-07-05T22:01:11Z,3
여자 고딩때 임신시킨 남자,abcdefu,2022-07-03T10:10:54Z,5
남편분 멋져요 <br>아들 둘도 너무 <br>이쁘고 마눌님 도<br>이쁘고 행복하게 사실길 응원합니다~🙌,서윤남,2022-06-29T11:33:56Z,128
응원합니다!!!<br>행복하세요~~~~,suyeon song,2022-06-29T11:33:07Z,18
정말 정말 응원해요!!!,소소한 행복으로,2022-06-29T10:57:36Z,27
정말이쁜엄빠네요<br>항상건강하고.젊어서열심히하고<br>애들키위놓고.둘만의꽁냥꽁냥해요~~,김옥순,2022-06-29T06:59:32Z,50
"네네, 두 분 정말 잘~ 하고 있어요. 앞으로 추형제 잘 키우시고, 무엇보다 두 분 인생이 정말 행복했으면 좋겠네요. 대견합니다. 진심으로 응원합니다.",공식채널눈송이 차차,2022-06-29T05:46:10Z,66
멋지다.,선미 이,2022-06-29T05:27:18Z,29
